volume,scale_factor,time,time_plus_1.2,cen,dmn,stage,cen_cumulative_hits,dmn_cumulative_hits,pda_outlier,ball_y_position,top_circle_y_position,bottom_circle_y_position
0,10,0.41719937324523926,1.6172003269195556,1.02213173967193,-1.8640579323601159,baseline,0,0,nan,nan,nan,nan
1,10,1.6183817386627197,2.8183826923370363,-0.31523996136718396,0.5239220884848577,baseline,0,0,nan,nan,nan,nan
2,10,2.8194472789764404,4.019447994232178,-2.1900047037437123,0.27807752091908816,baseline,0,0,nan,nan,nan,nan
3,10,4.020961046218872,5.220961999893189,0.16064702707178433,0.6212492886337272,baseline,0,0,nan,nan,nan,nan
4,10,5.22241473197937,6.422415685653687,-1.5657170210843065,-0.0005901993401304817,baseline,0,0,nan,nan,nan,nan
5,10,6.4234535694122314,7.623454284667969,0.6969485114249753,0.6596701869080294,baseline,0,0,nan,nan,nan,nan
6,10,7.624884128570557,8.824884843826293,0.5174136727983705,0.10544087408661852,baseline,0,0,nan,nan,nan,nan
7,10,8.826359510421753,10.02636022567749,0.4289230346570459,1.0395451913191258,baseline,0,0,nan,nan,nan,nan
8,10,10.027590990066528,11.227591943740844,0.49714870131494676,-1.0497838838000235,baseline,0,0,nan,nan,nan,nan
9,10,11.22897458076477,12.428975296020507,0.8264804732026072,-0.6773173427199289,baseline,0,0,nan,nan,nan,nan
10,10,12.430671691894531,13.630672645568847,-1.983530182702113,-2.7425223369301435,baseline,0,0,nan,nan,nan,nan
11,10,13.632071018218994,14.83207197189331,0.197782845534913,0.9289017433354634,baseline,0,0,nan,nan,nan,nan
12,10,14.833291053771973,16.03329200744629,1.07354729837865,-0.16443030318548432,baseline,0,0,nan,nan,nan,nan
13,10,16.03482985496521,17.234830808639526,-0.4937292115518731,-0.3224329746025513,baseline,0,0,nan,nan,nan,nan
14,10,17.235886096954346,18.43588705062866,1.5131696112817254,0.0571262201979716,baseline,0,0,nan,nan,nan,nan
15,10,18.438044786453247,19.63804621696472,-0.3963916729406299,-0.9255516575267292,baseline,0,0,nan,nan,nan,nan
16,10,19.63883399963379,20.838836860656738,-1.5207163599603555,1.2769226867484074,baseline,0,0,nan,nan,nan,nan
17,10,20.840532302856445,22.04053635597229,-0.1889619078935074,-0.46674228407831847,baseline,0,0,nan,nan,nan,nan
18,10,22.04196810722351,23.24197120666504,-0.19422007608046082,0.07944988609949849,baseline,0,0,nan,nan,nan,nan
19,10,23.243354558944702,24.44335765838623,-2.4985046778354887,-2.1336505893067637,baseline,0,0,nan,nan,nan,nan
20,10,24.444313049316406,25.644316148757934,-0.6718402327884413,-1.0612522254454733,baseline,0,0,nan,nan,nan,nan
21,10,25.64607572555542,26.84607834815979,1.3133717131868048,-0.1896513854952666,baseline,0,0,nan,nan,nan,nan
22,10,26.847449779510498,28.047452402114867,0.05023986645590156,0.014702604583802306,baseline,0,0,nan,nan,nan,nan
23,10,28.04885196685791,29.248855304718017,-1.7088401364221864,-0.3160772527531398,baseline,0,0,nan,nan,nan,nan
24,10,29.250290155410767,30.450293254852294,0.6761304625995745,-0.6449305677461176,baseline,0,0,nan,nan,nan,nan
25,10,30.450542211532593,31.650544595718383,0.957375043769042,-0.15673196811222234,feedback,0,0,False,0.0,0.3333333333333333,-0.3333333333333333
26,10,31.651286363601685,32.851289939880374,0.4648417254864469,0.04101310153560007,feedback,1,0,False,0.0,0.3333333333333333,-0.3333333333333333
27,10,32.85118365287781,34.05118865966797,0.029542898301769184,0.7458699356688977,feedback,2,0,False,0.0,0.3333333333333333,-0.3333333333333333
28,10,34.05113697052002,35.25113935470581,0.6540788537566008,0.04308516828246955,feedback,2,1,False,0.0,0.3333333333333333,-0.3333333333333333
29,10,35.2512092590332,36.451214742660525,-0.1532680117487354,0.5369570473256682,feedback,3,1,False,0.0,0.3333333333333333,-0.3333333333333333
30,10,36.45120596885681,37.65120668411255,-1.2369719813388727,0.33176850030947364,feedback,3,2,False,0.0,0.3333333333333333,-0.3333333333333333
31,10,37.65130138397217,38.85130472183228,0.2512581643467139,0.9567047701268371,feedback,3,3,False,0.0,0.3333333333333333,-0.3333333333333333
32,10,38.85122203826904,40.051224660873416,1.7590606464930139,0.16317520471625352,feedback,3,4,False,0.0,0.3333333333333333,-0.3333333333333333
33,10,40.05123949050903,41.25124282836914,3.7456593133392135,2.8001094995095035,feedback,4,4,True,0.0,0.3333333333333333,-0.3333333333333333
34,10,41.25063419342041,42.450636577606204,1.220402689364898,0.414801444396897,feedback,4,4,False,0.0,0.3333333333333333,-0.3333333333333333
35,10,42.45136284828186,43.651367616653445,-0.3422298757817614,0.916816034737116,feedback,5,4,False,0.0,0.3333333333333333,-0.3333333333333333
36,10,43.6512508392334,44.851255369186404,-2.688402587034209,-1.125445668187817,feedback,5,5,True,0.0,0.3333333333333333,-0.3333333333333333
37,10,44.850608110427856,46.05061049461365,-0.28819237977576684,-0.3357386392763108,feedback,5,5,False,0.0,0.3333333333333333,-0.3333333333333333
38,10,46.051236629486084,47.251239490509036,0.981316678672781,-1.4468625723064656,feedback,6,5,False,0.0,0.3333333333333333,-0.3333333333333333
39,10,47.251309394836426,48.45131440162659,-0.7819632402772771,0.20522554240710755,feedback,7,5,False,0.0,0.3333333333333333,-0.3333333333333333
40,10,48.45125412940979,49.65125532150269,-1.047058746987768,0.4222491433916361,feedback,7,6,False,0.0,0.3333333333333333,-0.3333333333333333
41,10,49.65121841430664,50.85122151374817,-1.2052258352861,3.186542848488298,feedback,7,7,True,0.0,0.3333333333333333,-0.3333333333333333
42,10,50.850637674331665,52.05064029693604,0.06773319984673928,0.6336848476183304,feedback,7,7,False,0.0,0.3333333333333333,-0.3333333333333333
